,test_size,gamma,C,accuracy,precision,recall,f1_score
0,0.05,0.001,1.0,0.8076923076923077,0.7428571428571429,0.9629629629629629,0.8387096774193549
1,0.05,0.001,10.0,0.8461538461538461,0.7878787878787878,0.9629629629629629,0.8666666666666665
2,0.05,0.001,50.0,0.8653846153846154,0.7941176470588235,1.0,0.8852459016393442
3,0.05,0.001,100.0,0.8461538461538461,0.7878787878787878,0.9629629629629629,0.8666666666666665
4,0.05,0.02,1.0,0.8653846153846154,0.7941176470588235,1.0,0.8852459016393442
5,0.05,0.02,10.0,0.8461538461538461,0.7878787878787878,0.9629629629629629,0.8666666666666665
6,0.05,0.02,50.0,0.8461538461538461,0.7878787878787878,0.9629629629629629,0.8666666666666665
7,0.05,0.02,100.0,0.8269230769230769,0.78125,0.9259259259259259,0.847457627118644
8,0.05,0.03,1.0,0.8653846153846154,0.7941176470588235,1.0,0.8852459016393442
9,0.05,0.03,10.0,0.8461538461538461,0.7878787878787878,0.9629629629629629,0.8666666666666665
10,0.05,0.03,50.0,0.8269230769230769,0.78125,0.9259259259259259,0.847457627118644
11,0.05,0.03,100.0,0.8269230769230769,0.78125,0.9259259259259259,0.847457627118644
12,0.05,0.04,1.0,0.8653846153846154,0.7941176470588235,1.0,0.8852459016393442
13,0.05,0.04,10.0,0.8461538461538461,0.7878787878787878,0.9629629629629629,0.8666666666666665
14,0.05,0.04,50.0,0.8269230769230769,0.78125,0.9259259259259259,0.847457627118644
15,0.05,0.04,100.0,0.8269230769230769,0.78125,0.9259259259259259,0.847457627118644
16,0.1,0.001,1.0,0.7572815533980582,0.6956521739130435,0.9230769230769231,0.7933884297520661
17,0.1,0.001,10.0,0.8349514563106796,0.7777777777777778,0.9423076923076923,0.8521739130434781
18,0.1,0.001,50.0,0.8349514563106796,0.7692307692307693,0.9615384615384616,0.8547008547008548
19,0.1,0.001,100.0,0.8446601941747572,0.7727272727272727,0.9807692307692307,0.864406779661017
20,0.1,0.02,1.0,0.8349514563106796,0.7692307692307693,0.9615384615384616,0.8547008547008548
21,0.1,0.02,10.0,0.8446601941747572,0.7727272727272727,0.9807692307692307,0.864406779661017
22,0.1,0.02,50.0,0.8737864077669902,0.8095238095238095,0.9807692307692307,0.8869565217391304
23,0.1,0.02,100.0,0.8737864077669902,0.8095238095238095,0.9807692307692307,0.8869565217391304
24,0.1,0.03,1.0,0.8446601941747572,0.78125,0.9615384615384616,0.8620689655172413
25,0.1,0.03,10.0,0.8543689320388349,0.7846153846153846,0.9807692307692307,0.8717948717948717
26,0.1,0.03,50.0,0.8737864077669902,0.819672131147541,0.9615384615384616,0.8849557522123893
27,0.1,0.03,100.0,0.8737864077669902,0.819672131147541,0.9615384615384616,0.8849557522123893
28,0.1,0.04,1.0,0.8446601941747572,0.78125,0.9615384615384616,0.8620689655172413
29,0.1,0.04,10.0,0.8737864077669902,0.8095238095238095,0.9807692307692307,0.8869565217391304
30,0.1,0.04,50.0,0.8737864077669902,0.819672131147541,0.9615384615384616,0.8849557522123893
31,0.1,0.04,100.0,0.8737864077669902,0.819672131147541,0.9615384615384616,0.8849557522123893
32,0.3,0.001,1.0,0.7402597402597403,0.6666666666666666,0.9115646258503401,0.7701149425287356
33,0.3,0.001,10.0,0.7954545454545454,0.7307692307692307,0.9047619047619048,0.8085106382978723
34,0.3,0.001,50.0,0.8084415584415584,0.7365591397849462,0.9319727891156463,0.8228228228228227
35,0.3,0.001,100.0,0.8116883116883117,0.7379679144385026,0.9387755102040817,0.8263473053892215
36,0.3,0.02,1.0,0.8116883116883117,0.7486033519553073,0.9115646258503401,0.8220858895705521
37,0.3,0.02,10.0,0.8246753246753247,0.7540983606557377,0.9387755102040817,0.8363636363636363
38,0.3,0.02,50.0,0.8603896103896104,0.7988505747126436,0.9455782312925171,0.8660436137071651
39,0.3,0.02,100.0,0.8538961038961039,0.7965116279069767,0.9319727891156463,0.8589341692789968
40,0.3,0.03,1.0,0.827922077922078,0.7611111111111111,0.9319727891156463,0.8379204892966362
41,0.3,0.03,10.0,0.8474025974025974,0.7808988764044944,0.9455782312925171,0.8553846153846155
42,0.3,0.03,50.0,0.8668831168831169,0.8154761904761905,0.9319727891156463,0.8698412698412699
43,0.3,0.03,100.0,0.8831168831168831,0.8404907975460123,0.9319727891156463,0.8838709677419355
44,0.3,0.04,1.0,0.827922077922078,0.7611111111111111,0.9319727891156463,0.8379204892966362
45,0.3,0.04,10.0,0.8538961038961039,0.7897727272727273,0.9455782312925171,0.8606811145510836
46,0.3,0.04,50.0,0.8766233766233766,0.8303030303030303,0.9319727891156463,0.8782051282051282
47,0.3,0.04,100.0,0.9025974025974026,0.8545454545454545,0.9591836734693877,0.9038461538461537
48,0.5,0.001,1.0,0.7602339181286549,0.6964285714285714,0.9176470588235294,0.7918781725888324
49,0.5,0.001,10.0,0.8148148148148148,0.7631578947368421,0.9098039215686274,0.8300536672629697
50,0.5,0.001,50.0,0.8323586744639376,0.7807308970099668,0.9215686274509803,0.8453237410071943
51,0.5,0.001,100.0,0.8206627680311891,0.7672131147540984,0.9176470588235294,0.8357142857142856
52,0.5,0.02,1.0,0.8089668615984406,0.7697594501718213,0.8784313725490196,0.8205128205128206
53,0.5,0.02,10.0,0.8460038986354775,0.7953020134228188,0.9294117647058824,0.8571428571428572
54,0.5,0.02,50.0,0.8635477582846004,0.8222996515679443,0.9254901960784314,0.8708487084870848
55,0.5,0.02,100.0,0.8654970760233918,0.8394160583941606,0.9019607843137255,0.8695652173913043
56,0.5,0.03,1.0,0.8089668615984406,0.7697594501718213,0.8784313725490196,0.8205128205128206
57,0.5,0.03,10.0,0.8615984405458089,0.8108108108108109,0.9411764705882353,0.8711433756805809
58,0.5,0.03,50.0,0.8654970760233918,0.8444444444444444,0.8941176470588236,0.8685714285714287
59,0.5,0.03,100.0,0.8557504873294347,0.844106463878327,0.8705882352941177,0.8571428571428572
60,0.5,0.04,1.0,0.8109161793372319,0.7724137931034483,0.8784313725490196,0.8220183486238533
61,0.5,0.04,10.0,0.8635477582846004,0.8114478114478114,0.9450980392156862,0.8731884057971014
62,0.5,0.04,50.0,0.8557504873294347,0.844106463878327,0.8705882352941177,0.8571428571428572
63,0.5,0.04,100.0,0.8635477582846004,0.8438661710037175,0.8901960784313725,0.866412213740458
64,0.7,0.001,1.0,0.6796657381615598,0.614065180102916,0.9862258953168044,0.7568710359408034
65,0.7,0.001,10.0,0.8008356545961003,0.7558139534883721,0.8953168044077136,0.819672131147541
66,0.7,0.001,50.0,0.8231197771587744,0.7836538461538461,0.8980716253443526,0.8369704749679074
67,0.7,0.001,100.0,0.8217270194986073,0.7989821882951654,0.8650137741046832,0.8306878306878307
68,0.7,0.02,1.0,0.807799442896936,0.7672209026128266,0.8898071625344353,0.8239795918367347
69,0.7,0.02,10.0,0.8231197771587744,0.8089005235602095,0.8512396694214877,0.8295302013422821
70,0.7,0.02,50.0,0.8203342618384402,0.8421052631578947,0.7933884297520661,0.8170212765957447
71,0.7,0.02,100.0,0.8036211699164345,0.8153409090909091,0.790633608815427,0.8027972027972028
72,0.7,0.03,1.0,0.8133704735376045,0.7772397094430993,0.8842975206611571,0.8273195876288659
73,0.7,0.03,10.0,0.8231197771587744,0.8259668508287292,0.8236914600550964,0.8248275862068966
74,0.7,0.03,50.0,0.8036211699164345,0.8153409090909091,0.790633608815427,0.8027972027972028
75,0.7,0.03,100.0,0.8050139275766016,0.8123249299719888,0.7988980716253443,0.8055555555555556
76,0.7,0.04,1.0,0.8147632311977716,0.7832512315270936,0.8760330578512396,0.8270481144343304
77,0.7,0.04,10.0,0.83008356545961,0.8452722063037249,0.8126721763085399,0.8286516853932584
78,0.7,0.04,50.0,0.8175487465181058,0.8222222222222222,0.8154269972451791,0.8188105117565698
79,0.7,0.04,100.0,0.8105849582172702,0.8179271708683473,0.8044077134986226,0.8111111111111112
80,0.9,0.001,1.0,0.48429035752979416,0.0,0.0,0.0
81,0.9,0.001,10.0,0.7941495124593716,0.7553571428571428,0.8886554621848739,0.8166023166023166
82,0.9,0.001,50.0,0.7941495124593716,0.7638376383763837,0.8697478991596639,0.8133595284872298
83,0.9,0.001,100.0,0.8158179848320694,0.7822878228782287,0.8907563025210085,0.8330058939096266
84,0.9,0.02,1.0,0.7908992416034669,0.7596330275229358,0.8697478991596639,0.8109696376101861
85,0.9,0.02,10.0,0.8147345612134345,0.7818853974121996,0.8886554621848739,0.8318584070796461
86,0.9,0.02,50.0,0.7995666305525461,0.7881188118811882,0.8361344537815126,0.8114169215086646
87,0.9,0.02,100.0,0.8169014084507042,0.8204592901878914,0.8256302521008403,0.8230366492146597
88,0.9,0.03,1.0,0.7876489707475623,0.7583025830258303,0.8634453781512605,0.8074656188605108
89,0.9,0.03,10.0,0.819068255687974,0.7909604519774012,0.8823529411764706,0.8341608738828202
90,0.9,0.03,50.0,0.7995666305525461,0.8089171974522293,0.8004201680672269,0.8046462513199578
91,0.9,0.03,100.0,0.781148429035753,0.8044444444444444,0.7605042016806722,0.7818574514038875
92,0.9,0.04,1.0,0.7973997833152763,0.7741935483870968,0.8571428571428571,0.8135593220338982
93,0.9,0.04,10.0,0.800650054171181,0.7874015748031497,0.8403361344537815,0.8130081300813008
94,0.9,0.04,50.0,0.7887323943661971,0.8129175946547884,0.7668067226890757,0.7891891891891891
95,0.9,0.04,100.0,0.7724810400866738,0.796875,0.75,0.7727272727272727
